Sleep,AverageSleep,GPA
,7,3.8
,4,3.6
,9,3.5
,7,3
,5,3.61
,6,3.5
,5,3.6
,7,3
,5,3
,6,3.5
,6,3.6
,6,3
,7,2.8
,6,3.2
,8,2.75
,7,4
,7,3.2
,6,3
,5,3.7
,8,3.987
,7,3.25
,6,3.8
,6,3.7
,6,2.5
,6,3.01
,9,3
,7,3.5
,7,3.8
,6,3.46
,8,3.76
,6,3.5
,6,2.75
,7,3.7
,8,3.9
,8,3.24
,7,3.52
,6,3.56
,6,3.4
,7,2.8
,7,3.18
,7,3.1
,6,3.9
,6,2.9
,7,3.4
,8,2.89
,7,3.64
,7,3.82
,6,2.87
,6,3.85
,7,3
,7,3.4
,9,3.2
,7,2.7
,8,4
,7.5,3
,8,3.8
,7,3.75
,6,3.94
,6.5,3.7
,7,3.6
,6.5,3.69
,7,3.6
,8,4
,7,3.8
,6,3.8
,6.5,2.49
,7,3.7
,7,3.8
,7,3.2
,6,2.65
,7,2.5
,8,3.4
,8,3.85
,8,3.1
,8,3.19
,6,3
,7,3.25
,8,2.93
,7,3.3
,9,2.1
,4.5,2.7
,6,3.2
,7,4
,6,3.4
,5,3.1
,7,3.8
,6,3.3
,5,2.8
,4,2.5
,5,3.6
,6,3.5
,6,3.7
,5.5,3.6
,6,4
,5,2.3
,6,3.2
,8,3.6
,4,2.9
,4.5,2.6
,7,3.7
,8,3.9
,5.5,3
,6,3.2
,4.5,2.5
,6.5,3.7
,7.5,4
,6,3.1
,5,3.3
,6.5,3.8
,5,3.3
,8,2.9
,7,3.9
,9,3.8
,6,3.2
,8,3.7
,6,4
,5,3.5
,4,2
,7,3.8
,5,3.6
,8,3.9
,5,3.3
,6,3
,7,3.4
,5,2.9
,6,3.7
,7,4
,6,3.8
,5,3.4
,9,3.9
,4,3
,4,2.8
,6,3.8
,8,4
,5,3.8
,8,4
,7,4
,8,3.7
,6,3
,3,2.3
,8,3.8
,8,3.9
,5,3
,5,3.5
,9,3.9
,7,3.6
,6,3.3
,7,3.9
,4,2.7
,7,3.8
,8,4
,7,3.7
,4,2.9
,6,3.8
,5,3.4
,6,3
,10,3.8
,7,3.7
,7,3.8
,6,3.3
,7.18,3.6
,6.93,3.24
,5.02,2.97
,6.9,3.76
,6.35,3.2
,9.04,3.5
,7.52,3.35
,9.01,3
,8.54,4
,6.68,2.9
,8.09,3.7
,8.43,3
,6.89,3.3
,7.45,3.3
,8.93,3.5
,8.9,3.4
,8.34,2.8
,8.22,3
,8.39,2.8
,7.43,2.8
,7.29,3.05
,8.57,3.3
,9.39,2.9
,9.57,3
,8,3.2
,9.87,3.07
,8.75,3
,8.57,2.9
,7.71,3.4
,7.43,3
,8.32,3.75
,9.07,4
,8.64,2.8
,9.06,2.35
,7.14,3.04
,7.79,2.75
,6.93,3.5
,8.33,3.2
,9.68,3.25
,8.43,2.9
,7.82,3.84
,7.93,3.5
,7.98,2.8
,8.93,3.25
,8.46,2.9
,8.3,3.5
,8.61,3.1
,6.14,3.2
,6.07,3.4
,6.39,2.5
,8.36,3.25
,7.68,3
,8.27,3.2
,9.07,3.25
,6.14,2
,5.78,3.4
,8.9,3.4
,7.05,3.3
,8.29,3.25
,6.29,2.5
,7.96,3.2
,8.16,3.25
,7.24,3.32
,7.13,3
,6.12,3.67
,9.29,3.1
,10.45,2
,7.98,3.2
,9.14,3.4
,8.66,3.11
,7.85,3.4
,8.44,2.4
,7.9,4
,7.96,3.35
,8.73,3.3
,8.21,3.3
,8.07,3.6
,8.24,3.25
,7.59,3.6
,8.94,3.3
,8.11,3.3
,8.23,3
,8.42,2.84
,9.05,2.75
,4.95,3.12
,6,3.6
,9.19,3.75
,7.21,3.7
,8.8,2.4
,6.82,3.6
,9.64,3
,7.29,3.95
,8.43,3.43
,8.18,2.81
,7,3
,9,3.52
,7.87,3.2
,7.46,3.67
,8.86,3.6
,7.64,3.62
,8.11,3.6
,6.5,3.9
,6.51,3.5
,7.83,3.7
,7.63,3.2
,8.49,3.2
,9.96,3
,9.8,3.3
,7.93,3.8
,7.05,3.5
,7.61,3.93
,7.84,3.78
,8.52,3.83
,8.59,3.3
,6.36,3.1
,8.54,3.35
,7.21,3.5
,7.64,3.75
,7.05,3.68
,8,3.3
,7.25,2.66
,9.25,3.36
,7.71,3.2
,8.2,3
,7.6,3.7
,7.4,2.3
,7.81,3
,9.15,4
,8.71,3
,5.93,3.5
,7.54,2.9
,7.73,3
,7.67,3.5
,7.18,3.4
,8.68,3.9
,7.88,3.72
,6,3.5
,7.39,3.6
,7.87,3.6
,5.75,3.8
,9.32,3.44
,6.78,3.89
,6.43,3.5
,9,3.61
,9.19,3.43
,7.99,3.79
,6.36,3.4
,7.26,3.19
,7.53,3.1
,7.64,3.52
,8.89,3.2
,7.83,3.25
,7.04,3
,8,3.74
,8.79,3.3
,8.17,3
,8.18,2.8
,9.85,4
,7.89,3.9
,7.5,4
,8.21,3.5
,8.71,3.4
,8.93,3.25
,6.93,2.5
,7.79,3.3
,8.21,3.5
,8.29,2.5
,7.3,4
,7.86,2.4
,8.18,3.15
,7.75,3.75
,7.96,3
,7.64,3.75
,6.51,3.5
,9.87,3.3
,7.86,2.75
,6.69,2.5
,10.62,2.75
,7.11,2.8
,8.04,3.4
,8.61,3.8
,6.57,3.6
,8.43,2.75
,8.75,3.1
,8.29,2.5
,7.32,3.25
,8.49,3.5
,7.57,2.77
,7.43,3.7
,8.88,3.3
,7.43,2.8
,7.5,3.7
,6.19,3.2
,5.96,3.24
,7.52,2.75
,8.07,3.4
,7.98,3.3
,8.81,2.8
,8.82,3.32
,9.05,3.7
,7.63,3
,8.75,3.2
,6.43,2
,7.93,2.98
,9.61,3
,8.42,2.5
,7.38,3.2
,8.19,3.6
,8.24,3.2
,8.46,3.56
,8.9,3
,7.93,3.1
,6.96,3.3
,7.93,3.55
,8.39,2.9
,8.57,4
,8.23,3.75
,9.11,3.42
,8.43,2.5
,7.68,3
,8.36,3
,7.91,3
,8.27,3.23
,7.94,2.4
,8.68,3.2
,7.44,3
,7.24,3.35
,8.21,2.8
,9.64,3.25
,9.21,3.6
,7.29,2.8
,5.64,3.5
,7.25,3.5
,8.61,3.4
,7,3.3
,7.14,3.4
,8.26,2.8
,7.98,3.72
,7.75,3.4
,8.26,3.3
,10,2.7
,8.75,3.4
,8.86,3.15
,8.24,3.5
,6.5,2.5
,8.54,3.25
,8.38,3.15
,7.61,3.34
,7.55,3.35
,9.17,3
,8.07,3.5
,8.55,2.6
,8.82,2.5
